Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.6545 MVC = 0.2728 AVO = 0.3360
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.586034402
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	  GLOBAL     	ECG : 
0.160871303		6.313794957	5.258649425	3.689831531	2.935563462	4.549459844	0.000000000
0.161870504		6.342199782	5.286773137	3.717537421	2.963068547	4.577394722	0.000000000
0.162869704		6.369365175	5.313669696	3.744034411	2.989373506	4.604110697	0.000000000
0.163868905		6.395228708	5.339277294	3.769261613	3.014417894	4.629546377	0.000000000
0.164868106		6.419728878	5.363535039	3.793159046	3.038142166	4.653641282	0.000000000
0.165867306		6.442805520	5.386383362	3.815668029	3.060488068	4.676336245	0.000000000
0.166866507		6.464399890	5.407764105	3.836731270	3.081398727	4.697573498	0.000000000
0.167865707		6.484454281	5.427620250	3.856292603	3.100818384	4.717296379	0.000000000
0.168864908		6.502906764	5.445896248	3.874297306	3.118692717	4.735448259	0.000000000
0.169864109		6.519686899	5.462538042	3.890692130	3.134968864	4.751971484	0.000000000
0.170863309		6.534727693	5.477492089	3.905424331	3.149594464	4.766809644	0.000000000
0.171862510		6.547908920	5.490710672	3.918446903	3.162522856	4.779897338	0.000000000
0.172861711		6.559027245	5.502154059	3.929720706	3.173715182	4.791154298	0.000000000
0.173860911		6.567843619	5.511787127	3.939211783	3.183137734	4.800495066	0.000000000
0.174860112		6.574079655	5.519567626	3.946893672	3.190764243	4.807826299	0.000000000
0.175859313		6.577424735	5.525434215	3.952746977	3.196575453	4.813045345	0.000000000
0.176858513		6.577551331	5.529286369	3.956763798	3.200563523	4.816041255	0.000000000
0.177857714		6.574123008	5.530971035	3.958949862	3.202734138	4.816694511	0.000000000
0.178856914		6.566802858	5.530280582	3.959324243	3.203106234	4.814878479	0.000000000
0.179856115		6.555260950	5.527000314	3.957918964	3.201711601	4.810472957	0.000000000
0.180855316		6.539187506	5.520892853	3.954783934	3.198599904	4.803366049	0.000000000
0.181854516		6.518298834	5.511705053	3.949979111	3.193837315	4.793455078	0.000000000
0.182853717		6.492353167	5.499194224	3.943561012	3.187515561	4.780655991	0.000000000
0.183852918		6.461131583	5.483104463	3.935544677	3.179726990	4.764876928	0.000000000
0.184852118		6.424510731	5.463244875	3.925954001	3.170630069	4.746084919	0.000000000
0.185851319		6.382380197	5.439408754	3.914731211	3.160353397	4.724218390	0.000000000
0.186850520		6.334644875	5.411379171	3.901771238	3.148987927	4.699195803	0.000000000
0.187849720		6.281454426	5.379175917	3.887167723	3.136791267	4.671147333	0.000000000
0.188848921		6.222649186	5.342476754	3.870599607	3.123569056	4.639823651	0.000000000
0.189848122		6.158443230	5.301344159	3.852103494	3.109488132	4.605344754	0.000000000
0.190847322		6.088953685	5.255737452	3.831569622	3.094531081	4.567697960	0.000000000
0.191846523		6.014259933	5.205570067	3.808797501	3.078570085	4.526799396	0.000000000
0.192845723		5.934534980	5.150862842	3.783665302	3.061534769	4.482649473	0.000000000
