Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.7144 MVC = 0.2568
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.640073941
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	  GLOBAL     	ECG : 
0.133892886		-3.434172054	4.488027681	2.231793602	1.582280126	1.216982339	0.000000000
0.134892086		-3.404654700	4.520951466	2.264011931	1.614296027	1.248651181	0.000000000
0.135891287		-3.375154642	4.553969394	2.296322223	1.646403246	1.280385055	0.000000000
0.136890488		-3.345672170	4.587079997	2.328723044	1.678600357	1.312182807	0.000000000
0.137889688		-3.316230238	4.620250305	2.361182139	1.710855314	1.344014380	0.000000000
0.138888889		-3.286838337	4.653462303	2.393681885	1.743150607	1.375864114	0.000000000
0.139888090		-3.257518202	4.686687478	2.426194389	1.775458522	1.407705547	0.000000000
0.140887290		-3.228273280	4.719913545	2.458707636	1.807767119	1.439528755	0.000000000
0.141886491		-3.199119494	4.753116088	2.491197738	1.840052666	1.471311750	0.000000000
0.142885691		-3.170067990	4.786275018	2.523645043	1.872295637	1.503036927	0.000000000
0.143884892		-3.141131592	4.819368727	2.556028415	1.904475030	1.534685145	0.000000000
0.144884093		-3.112323146	4.852375546	2.588326654	1.936569782	1.566237209	0.000000000
0.145883293		-3.083656438	4.885273655	2.620518414	1.968558683	1.597673579	0.000000000
0.146882494		-3.055144411	4.918040895	2.652582019	2.000420197	1.628974675	0.000000000
0.147881695		-3.026802793	4.950653281	2.684494003	2.032131009	1.660118875	0.000000000
0.148880895		-2.998647476	4.983084332	2.716228462	2.063665378	1.691082674	0.000000000
0.149880096		-2.970690051	5.015302903	2.747754925	2.094993030	1.721840202	0.000000000
0.150879297		-2.942944949	5.047272863	2.779038044	2.126078843	1.752361200	0.000000000
0.151878497		-2.915420253	5.078951719	2.810036248	2.156881510	1.782612306	0.000000000
0.152877698		-2.888125360	5.110291617	2.840702719	2.187354513	1.812555872	0.000000000
0.153876898		-2.861065960	5.141230482	2.870985469	2.217446195	1.842149046	0.000000000
0.154876099		-2.834244933	5.171685286	2.900827127	2.247099552	1.871341758	0.000000000
0.155875300		-2.807662239	5.201559010	2.930166660	2.276253937	1.900079342	0.000000000
0.156874500		-2.781315504	5.230769847	2.958932045	2.304837789	1.928306044	0.000000000
0.157873701		-2.755198952	5.259246413	2.987041521	2.332769865	1.955964712	0.000000000
0.158872902		-2.729302464	5.286884268	3.014409044	2.359964670	1.982988879	0.000000000
0.159872102		-2.703607589	5.313407990	3.040965341	2.386353372	2.009279778	0.000000000
0.160871303		-2.678090646	5.338464541	3.066645699	2.411871670	2.034722816	0.000000000
0.161870504		-2.652725914	5.361784810	3.091363699	2.436433695	2.059214072	0.000000000
0.162869704		-2.627489288	5.383148187	3.115027628	2.459948316	2.082658711	0.000000000
0.163868905		-2.602350422	5.402209300	3.137558430	2.482336981	2.104938573	0.000000000
0.164868106		-2.577278395	5.418623790	3.158877248	2.503521334	2.125935994	0.000000000
0.165867306		-2.552240183	5.432048146	3.178901620	2.523419439	2.145532256	0.000000000
0.166866507		-2.527202563	5.442138962	3.197550631	2.541950893	2.163609481	0.000000000
0.167865707		-2.502132423	5.448557499	3.214744945	2.559036867	2.180051722	0.000000000
0.168864908		-2.476996845	5.450974275	3.230405323	2.574599565	2.194745579	0.000000000
0.169864109		-2.451761755	5.449078004	3.244415211	2.588566621	2.207574520	0.000000000
0.170863309		-2.426396028	5.442572709	3.256693553	2.600864144	2.218433594	0.000000000
0.171862510		-2.400870350	5.431184432	3.267164868	2.611419777	2.227224682	0.000000000
0.172861711		-2.375151804	5.414675629	3.275647745	2.620174376	2.233836486	0.000000000
0.173860911		-2.349209610	5.392836735	3.281963036	2.627069908	2.238165017	0.000000000
0.174860112		-2.323012019	5.365495440	3.285906008	2.632016493	2.240101480	0.000000000
0.175859313		-2.296527000	5.332512445	3.287254820	2.634916761	2.239539257	0.000000000
